board,ヴェルク株式会社,IT/通信/インターネット系,東京都千代田区九段南2-7-1 喜京家ビル4階,800万円,田向 祐介,2～10人,http://www.velc.co.jp/,2010年12月,[]
楽楽明細,株式会社ラクス,IT/通信/インターネット系,東京都渋谷区千駄ケ谷5-27-11 アグリスクエア新宿,"3億7,837万8千円",中村崇則,301～500人,,2000年11月,[]
SpreadOffice,株式会社スプレッドオフィス,IT/通信/インターネット系,東京都千代田区神田佐久間町2-24,500万円,尾家　健二,11～30人,,2012年11月,[]
pasture,エン・ジャパン株式会社,IT/通信/インターネット系,東京都新宿区西新宿6-5-1新宿アイランドタワー,"11億9,499万円",越智 通勝（代表取締役会長）、鈴木 孝二（代表取締役社長）,1000人以上,,2000年1月,['Video Interview']
ナカオさん,株式会社イマココ,IT/通信/インターネット系,東京都港区西麻布3-20-14梅田ビル4階,,小川淳,2～10人,,,[]
invoiceAgent TransPrint,ウイングアーク１ｓｔ株式会社,IT/通信/インターネット系,東京都港区六本木3-2-1 六本木グランドタワー,2億円,代表取締役社長　田中 潤,501～1000人,https://www.wingarc.com/,2004年3月,"['MotionBoard Cloud', 'Dr.Sum', '帳票クラウドサービス SVF Cloud', 'VyNDEX']"
帳票クラウドサービス SVF Cloud,ウイングアーク１ｓｔ株式会社,IT/通信/インターネット系,東京都港区六本木3-2-1 六本木グランドタワー,2億円,代表取締役社長　田中 潤,501～1000人,https://www.wingarc.com/,2004年3月,"['MotionBoard Cloud', 'Dr.Sum', 'VyNDEX', 'invoiceAgent TransPrint']"
RaQool,,,,,,,,,
SMART invoice,,,,,,,,,
請求の助,,,,,,,,,
見積RICH,,,,,,,,,
Sales Quote Assistant,,,,,,,,,
Tradeshift,トレードシフトジャパン株式会社,IT/通信/インターネット系,東京都港区赤坂８丁目５−８ Terrace Hill Aoyama ４F,非公開,菊池　孝明,2～10人,,2014年3月,[]
請求管理ロボ,株式会社ROBOT PAYMENT,IT/通信/インターネット系,東京都渋谷区神宮前6-19-20-4F,100百万円,清久 健也,51～100人,,2000年10月,['法人向けBtoB決済代行サービス']
Meeepa,ＴＤＣソフト株式会社,IT/通信/インターネット系,東京都渋谷区代々木3-22-7 新宿文化クイントビル,"9億7,040万円",小林 裕嘉,1000人以上,https://www.tdc.co.jp/,1962年10月,"['M-Check+', 'Trustpro', 'Styleflow', 'BP-LINKS']"
Zoho Invoice,ゾーホージャパン株式会社,IT/通信/インターネット系,神奈川県横浜市西区みなとみらい三丁目6番1号,"9,000万円 （シンガポールZoho Corporation Pte. Ltd 100%）",Manikandan Thangaraj,1000人以上,,2001年9月,"['Zoho CRM', 'Zoho Desk', 'Zoho Campaigns', 'Zoho SalesIQ', 'Zoho Social', 'Zoho Projects', 'Zoho Survey', 'Zoho Analytics', 'Zoho Writer', 'Zoho Wiki', 'Zoho Forms', 'Zoho Books', 'Zoho Assist', 'Zoho Creator']"
LinkPrint CLOUD,ティービー株式会社,IT/通信/インターネット系,愛知県名古屋市東区葵3-14-12 HGビル4F,,,11～30人,,,[]
ナビエクスプレス,NTTコム オンライン・マーケティング・ソリューション株式会社,IT/通信/インターネット系,東京都品川区大崎１丁目５番１号,1億円,塚本　良江,101～200人,,2012年10月,"['Mixpanel', 'TIBCO® Data Virtualization']"
継続確認Web,株式会社ネットウエルシステム,IT/通信/インターネット系,東京都新宿区西新宿1丁目26番2号新宿野村ビル35Ｆ,1500,富田秋実,2～10人,,2008年9月,"['MarkONEシリーズ', '緊急メール連絡板', 'File Transmission System']"
BP-LINKS,ＴＤＣソフト株式会社,IT/通信/インターネット系,東京都渋谷区代々木3-22-7 新宿文化クイントビル,"9億7,040万円",小林 裕嘉,1000人以上,https://www.tdc.co.jp/,1962年10月,"['M-Check+', 'Trustpro', 'Styleflow', 'Meeepa']"
INVOICE POST,株式会社BEARTAIL,IT/通信/インターネット系,東京都千代田区神田駿河台2-2 御茶ノ水杏雲ビル 5階,100百万円,黒崎 賢一,51～100人,https://beartail.jp,2012年6月,"['RECEIPT POST', '【BOXILEXPO】株式会社BearTail _Dr.経費精算', 'INVOICE POST', '【BOXIL EXPO】株式会社BEARTAIL＿RECEIPT POST']"
ソアスク,株式会社オプロ,IT/通信/インターネット系,東京都中央区京橋2-14-1 兼松ビルディング6階,9千8百万円,里見 一典,51～100人,https://www.opro.net/,1997年4月,[]
LayerX インボイス,株式会社LayerX,IT/通信/インターネット系,東京都中央区東日本橋2-7-1 FRONTIER東日本橋7階,31億円,福島 良典,31～50人,https://layerx.co.jp/,2018年8月,['【BOXIL EXPO】株式会社LayerX＿LayerXインボイス']
